,TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC,min IPC,normalized IPC
0,gcc,True,4,2048,256,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736,1.0740874959437736,1.0
1,gcc,True,4,2048,256,basic,30,1600,0.6718806476899999,0.641976,1.0465821895055265,1.0740874959437736,0.9743919312513001
2,gcc,True,4,2048,256,basic,120,1600,0.606548628522,0.641976,0.9448151153968372,1.0740874959437736,0.879644460032236
3,gcc,True,4,2048,256,basic,480,1600,0.43676236721999995,0.641976,0.6803406470335339,1.0740874959437736,0.6334126871440168
4,namd,True,4,2048,256,basic,0,1600,1.81003614183,0.8250739999999999,2.193786426223588,2.193786426223588,1.0
5,namd,True,4,2048,256,basic,30,1600,1.78652796902,0.8250739999999999,2.1652942269663087,2.193786426223588,0.9870123185572233
6,namd,True,4,2048,256,basic,120,1600,1.70124540489,0.8250739999999999,2.06193069335599,2.193786426223588,0.9398958206270899
7,namd,True,4,2048,256,basic,480,1600,1.39767530343,0.8250739999999999,1.6939999362845033,2.193786426223588,0.7721808814363832
8,calculix,True,4,2048,256,basic,0,1600,0.35576083382,0.132874,2.6774299999999998,2.6774299999999998,1.0
9,calculix,True,4,2048,256,basic,30,1600,0.3557502039,0.132874,2.67735,2.6774299999999998,0.9999701206007254
10,calculix,True,4,2048,256,basic,120,1600,0.35569306807999995,0.132874,2.67692,2.6774299999999998,0.999809518829624
11,calculix,True,4,2048,256,basic,480,1600,0.35538878662,0.132874,2.67463,2.6774299999999998,0.9989542210253864
12,mcf_s,True,4,2048,256,basic,0,1600,0.22490287375482,0.9994937,0.2250167997605388,0.2250167997605388,1.0
13,mcf_s,True,4,2048,256,basic,30,1600,0.22437112450017999,0.9994937,0.22448478114487366,0.2250167997605388,0.9976356493549313
14,mcf_s,True,4,2048,256,basic,120,1600,0.22229633610778,0.9994937,0.2224089417549905,0.2250167997605388,0.9884103853209025
15,mcf_s,True,4,2048,256,basic,480,1600,0.20494829058096,0.9853165,0.20800249521951567,0.2250167997605388,0.9243865144330129
16,exchange2_s,True,4,2048,256,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.2150292274233867,1.0
17,exchange2_s,True,4,2048,256,basic,30,1600,1.2015728264915002,1.0000004999999998,1.2015722257053876,1.2150292274233867,0.9889245448469283
18,exchange2_s,True,4,2048,256,basic,120,1600,1.1844063198995,1.0000004999999998,1.1844057276966364,1.2150292274233867,0.9747960797686398
19,exchange2_s,True,4,2048,256,basic,480,1600,1.1701253325035,1.0000004999999998,1.1701247474411267,1.2150292274233867,0.9630424692931171
20,fotonik3d_s,True,4,2048,256,basic,0,1600,2.001208909058,0.9104327,2.198085491720585,2.198085491720585,1.0
21,fotonik3d_s,True,4,2048,256,basic,30,1600,1.944544203718,0.9104327,2.135846179204679,2.198085491720585,0.971684762603484
22,fotonik3d_s,True,4,2048,256,basic,120,1600,1.84776770545,0.9104327,2.0295489226716037,2.198085491720585,0.9233257442971171
23,fotonik3d_s,True,4,2048,256,basic,480,1600,1.773992899114,0.9104327,1.948516237514316,2.198085491720585,0.8864606244177905
