TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC
403,True,4,8,256,basic,0,1600,0.056338108120300004,0.246914,0.22816895
403,True,4,32,256,basic,0,1600,0.279656279973,0.641976,0.43561796698474714
403,True,4,128,256,basic,0,1600,0.43191771232,0.641976,0.6727941734893516
403,True,4,512,256,basic,0,1600,0.5206269150580001,0.641976,0.8109756674050121
403,True,4,2048,256,basic,0,1600,0.7065828677160001,0.641976,1.1006375124864483
444,True,4,8,256,basic,0,1600,0.19628959958900002,0.8250739999999999,0.23790544798284766
444,True,4,32,256,basic,0,1600,0.782943766578,0.8250739999999999,0.9489376305373823
444,True,4,128,256,basic,0,1600,1.7853296816799997,0.8250739999999999,2.1638418877337062
444,True,4,512,256,basic,0,1600,1.8842397959300001,0.8250739999999999,2.2837221824103056
444,True,4,2048,256,basic,0,1600,1.8957246631800002,0.8250739999999999,2.2976419850583105
454,True,4,8,256,basic,0,1600,0.984692563876,0.754429,1.3052156848106315
454,True,4,32,256,basic,0,1600,1.06025595601,0.754429,1.405375397830677
454,True,4,128,256,basic,0,1600,0.22219588901999998,0.132874,1.6722299999999999
454,True,4,512,256,basic,0,1600,0.3178213206,0.132874,2.3919
454,True,4,2048,256,basic,0,1600,0.39372559310000005,0.132874,2.9631500000000006
605,True,4,8,256,basic,0,1600,0.13960036170658002,0.9994937,0.13967107717295268
605,True,4,32,256,basic,0,1600,0.19767509603709998,0.9994937,0.1977752296358646
605,True,4,128,256,basic,0,1600,0.2495991606668,0.9994937,0.24972559673642764
605,True,4,512,256,basic,0,1600,0.2673308344038,0.9994937,0.2674662525674749
605,True,4,2048,256,basic,0,1600,0.22490287375482002,0.9994937,0.22501679976053876
648,True,4,8,256,basic,0,1600,0.4565430804769,1.0000004999999998,0.45654285220547397
648,True,4,32,256,basic,0,1600,1.176169595944,1.0000004999999998,1.1761690078594962
648,True,4,128,256,basic,0,1600,1.202375722545,1.0000004999999998,1.2023751213574396
648,True,4,512,256,basic,0,1600,1.210954901079,1.0000004999999998,1.2109542956018524
648,True,4,2048,256,basic,0,1600,1.21600014307,1.0000004999999998,1.2159995350702326
649,True,4,8,256,basic,0,1600,0.2450160454263,0.9104327000000001,0.2691204362785959
649,True,4,32,256,basic,0,1600,0.6837188999533,0.9104327000000001,0.7509823625110346
649,True,4,128,256,basic,0,1600,1.071003394462,0.9104327000000001,1.176367450841781
649,True,4,512,256,basic,0,1600,1.833496272683,0.9104327000000001,2.013873483106439
649,True,4,2048,256,basic,0,1600,2.003586483698,0.9104327000000001,2.200696969361931
