,TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC
0,403,True,4,2048,256,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736
1,444,True,4,2048,256,basic,0,1600,1.81003614183,0.8250739999999999,2.193786426223588
2,454,True,4,2048,256,basic,0,1600,0.35576083382,0.132874,2.6774299999999998
3,605,True,4,2048,256,basic,0,1600,0.22490287375482,0.9994937,0.2250167997605388
4,648,True,4,2048,256,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867
5,649,True,4,2048,256,basic,0,1600,2.001208909058,0.9104327,2.198085491720585
0,403,True,4,2048,256,basic,30,1600,0.6718806476899999,0.641976,1.0465821895055265
1,444,True,4,2048,256,basic,30,1600,1.78652796902,0.8250739999999999,2.1652942269663087
2,454,True,4,2048,256,basic,30,1600,0.3557502039,0.132874,2.67735
3,605,True,4,2048,256,basic,30,1600,0.22437112450017999,0.9994937,0.22448478114487366
4,648,True,4,2048,256,basic,30,1600,1.2015728264915002,1.0000004999999998,1.2015722257053876
5,649,True,4,2048,256,basic,30,1600,1.944544203718,0.9104327,2.135846179204679
0,403,True,4,2048,256,basic,120,1600,0.606548628522,0.641976,0.9448151153968372
1,444,True,4,2048,256,basic,120,1600,1.70124540489,0.8250739999999999,2.06193069335599
2,454,True,4,2048,256,basic,120,1600,0.35569306807999995,0.132874,2.67692
3,605,True,4,2048,256,basic,120,1600,0.22229633610778,0.9994937,0.2224089417549905
4,648,True,4,2048,256,basic,120,1600,1.1844063198995,1.0000004999999998,1.1844057276966364
5,649,True,4,2048,256,basic,120,1600,1.84776770545,0.9104327,2.0295489226716037
0,403,True,4,2048,256,basic,480,1600,0.43676236721999995,0.641976,0.6803406470335339
1,444,True,4,2048,256,basic,480,1600,1.39767530343,0.8250739999999999,1.6939999362845033
2,454,True,4,2048,256,basic,480,1600,0.35538878662,0.132874,2.67463
3,605,True,4,2048,256,basic,480,1600,0.20494829058096,0.9853165,0.20800249521951567
4,648,True,4,2048,256,basic,480,1600,1.1701253325035,1.0000004999999998,1.1701247474411267
5,649,True,4,2048,256,basic,480,1600,1.773992899114,0.9104327,1.948516237514316
