,TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC,Weight,final IPC,min IPC,normalized IPC
0,403,True,4,2048,256,basic,0,1600,0.6895383942960001,0.641976,1.0740874959437736,0.6803406470335339,1.5787495582206952
1,444,True,4,2048,256,basic,0,1600,1.81003614183,0.8250739999999999,2.193786426223588,1.6939999362845033,1.2950333581684073
2,454,True,4,2048,256,basic,0,1600,0.35576083382,0.132874,2.6774299999999998,2.67463,1.0010468737731948
3,605,True,4,2048,256,basic,0,1600,0.22490287375482,0.9994937,0.2250167997605388,0.20800249521951567,1.0817985597868287
4,648,True,4,2048,256,basic,0,1600,1.2150298349380002,1.0000004999999998,1.2150292274233867,1.1701247474411267,1.03837580572538
5,649,True,4,2048,256,basic,0,1600,2.001208909058,0.9104327,2.198085491720585,1.948516237514316,1.1280816907764852
0,403,True,4,2048,256,basic,30,1600,0.6718806476899999,0.641976,1.0465821895055265,0.6803406470335339,1.5383208309968
1,444,True,4,2048,256,basic,30,1600,1.78652796902,0.8250739999999999,2.1652942269663087,1.6939999362845033,1.2782138774547467
2,454,True,4,2048,256,basic,30,1600,0.3557502039,0.132874,2.67735,2.67463,1.0010169630939607
3,605,True,4,2048,256,basic,30,1600,0.22437112450017999,0.9994937,0.22448478114487366,0.20800249521951567,1.0792408086641625
4,648,True,4,2048,256,basic,30,1600,1.2015728264915002,1.0000004999999998,1.2015722257053876,1.1701247474411267,1.0268753210570338
5,649,True,4,2048,256,basic,30,1600,1.944544203718,0.9104327,2.135846179204679,1.948516237514316,1.0961397898994858
0,403,True,4,2048,256,basic,120,1600,0.606548628522,0.641976,0.9448151153968372,0.6803406470335339,1.3887383026671745
1,444,True,4,2048,256,basic,120,1600,1.70124540489,0.8250739999999999,2.06193069335599,1.6939999362845033,1.2171964409151512
2,454,True,4,2048,256,basic,120,1600,0.35569306807999995,0.132874,2.67692,2.67463,1.000856193193077
3,605,True,4,2048,256,basic,120,1600,0.22229633610778,0.9994937,0.2224089417549905,0.20800249521951567,1.0692609313184969
4,648,True,4,2048,256,basic,120,1600,1.1844063198995,1.0000004999999998,1.1844057276966364,1.1701247474411267,1.0122046647477032
5,649,True,4,2048,256,basic,120,1600,1.84776770545,0.9104327,2.0295489226716037,1.948516237514316,1.0415868667641486
0,403,True,4,2048,256,basic,480,1600,0.43676236721999995,0.641976,0.6803406470335339,0.6803406470335339,1.0
1,444,True,4,2048,256,basic,480,1600,1.39767530343,0.8250739999999999,1.6939999362845033,1.6939999362845033,1.0
2,454,True,4,2048,256,basic,480,1600,0.35538878662,0.132874,2.67463,2.67463,1.0
3,605,True,4,2048,256,basic,480,1600,0.20494829058096,0.9853165,0.20800249521951567,0.20800249521951567,1.0
4,648,True,4,2048,256,basic,480,1600,1.1701253325035,1.0000004999999998,1.1701247474411267,1.1701247474411267,1.0
5,649,True,4,2048,256,basic,480,1600,1.773992899114,0.9104327,1.948516237514316,1.948516237514316,1.0
