TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,Weight,IPC
403,True,4,2048,16,basic,0,1600,0.123457,0.25873871146
403,True,4,2048,16,basic,0,1600,0.123457,0.17460276596
403,True,4,2048,1,basic,0,1600,0.123457,0.25330166518
403,True,4,2048,1,basic,0,1600,0.123457,0.17423609867
403,True,4,2048,256,basic,0,1600,0.123457,0.25873871146
403,True,4,2048,256,basic,0,1600,0.123457,0.17460276596
403,True,4,2048,4,basic,0,1600,0.123457,0.25873871146
403,True,4,2048,4,basic,0,1600,0.123457,0.17460276596
403,True,4,2048,64,basic,0,1600,0.123457,0.25873871146
403,True,4,2048,64,basic,0,1600,0.123457,0.17460276596
403,True,4,2048,16,basic,0,1600,0.395062,0.25619691687600005
403,True,4,2048,1,basic,0,1600,0.395062,0.255804225248
403,True,4,2048,256,basic,0,1600,0.395062,0.25619691687600005
403,True,4,2048,4,basic,0,1600,0.395062,0.256246299626
403,True,4,2048,64,basic,0,1600,0.395062,0.25619691687600005
444,True,4,2048,16,basic,0,1600,0.108429,0.24340900923
444,True,4,2048,1,basic,0,1600,0.108429,0.24287662284
444,True,4,2048,256,basic,0,1600,0.108429,0.24340900923
444,True,4,2048,4,basic,0,1600,0.108429,0.24340900923
444,True,4,2048,64,basic,0,1600,0.108429,0.24340900923
444,True,4,2048,16,basic,0,1600,0.109699,0.20897440102
444,True,4,2048,1,basic,0,1600,0.109699,0.20868808663
444,True,4,2048,256,basic,0,1600,0.109699,0.20897440102
444,True,4,2048,4,basic,0,1600,0.109699,0.20897440102
444,True,4,2048,64,basic,0,1600,0.109699,0.20897440102
444,True,4,2048,16,basic,0,1600,0.113511,0.23668519143
444,True,4,2048,1,basic,0,1600,0.113511,0.23632876688999999
444,True,4,2048,256,basic,0,1600,0.113511,0.23668519143
444,True,4,2048,4,basic,0,1600,0.113511,0.23668519143
444,True,4,2048,64,basic,0,1600,0.113511,0.23668519143
444,True,4,2048,16,basic,0,1600,0.115205,0.29341446244999997
